Employee_ID,First_Name,Last_Name,Department_ID,Job_Title,Salary,Bonus,Hire_Date,Gender,Age,City,State,Country,Email,Phone_Number,Performance_Rating,Work_Mode,Experience_Years,Marital_Status,Education,Project_Assigned,Leave_Balance,Attendance_Percentage,Insurance_Provider,Retirement_Plan
EMP000001,Amit,Sharma,DPT03375,Manager,1379103,18851,09-12-2018,Male,59,Chennai,Delhi,India,employee0@company.com,-7578257158,1,Office,11,Married,MBA,Project_333,8,94.14,Star Health,NPS
EMP000002,Arjun,Paul,DPT02743,Manager,1708657,35413,28-02-2017,Female,45,Mumbai,Maharashtra,India,employee1@company.com,-9142452618,4.42,Remote,19,Married,MCA,Project_361,13,72.84,LIC,NPS
EMP000003,Priya,Singh,DPT01124,HR Executive,356341,152219,07-02-2018,Female,25,Pune,Maharashtra,India,employee2@company.com,-7018629865,2.21,Remote,18,Married,BTech,Project_401,6,90.62,HDFC Ergo,NPS
EMP000004,Sneha,Sharma,DPT01782,Software Engineer,1026424,190741,04-08-2021,Female,48,Chennai,Delhi,India,employee3@company.com,-9277897419,2.81,Office,14,Married,BSc,Project_480,2,98.89,LIC,PF
EMP000005,Amit,Paul,DPT02844,HR Executive,2470499,127995,15-07-2023,Male,48,Mumbai,Delhi,India,employee4@company.com,-7208613366,1.46,Hybrid,12,Married,BTech,Project_168,29,73.46,LIC,PF
EMP000006,Ankit,Saha,DPT01514,Analyst,414993,33192,28-08-2016,Male,44,Kolkata,Delhi,India,employee5@company.com,-9376088877,1.99,Remote,6,Single,MCA,Project_369,12,90.6,LIC,PF
EMP000007,Amit,Dutta,DPT00411,HR Executive,2169028,66874,02-02-2020,Male,58,Bangalore,Karnataka,India,employee6@company.com,-8858906326,1.85,Hybrid,12,Married,BSc,Project_121,21,71.77,Star Health,NPS
EMP000008,Neha,Saha,DPT00002,HR Executive,1340163,93401,17-12-2015,Female,29,Pune,Karnataka,India,employee7@company.com,-9513074226,1.16,Office,22,Single,MCA,Project_468,13,79.73,LIC,NPS
EMP000009,Riya,Das,DPT00183,Consultant,905823,46347,28-09-2022,Female,37,Delhi,Maharashtra,India,employee8@company.com,-9074176892,4.06,Remote,20,Married,MCA,Project_189,23,70.36,Star Health,PF
EMP000010,Rahul,Roy,DPT04612,Consultant,1466863,127330,30-10-2023,Female,53,Bangalore,Delhi,India,employee9@company.com,-9183273080,3.37,Office,14,Single,BSc,Project_337,25,98.96,HDFC Ergo,NPS
EMP000011,Rahul,Roy,DPT00480,HR Executive,2271303,86766,05-07-2016,Female,28,Mumbai,Karnataka,India,employee10@company.com,-7761078586,1.38,Remote,31,Single,MCA,Project_434,2,92.95,LIC,NPS
EMP000012,Riya,Dutta,DPT01446,HR Executive,1414831,64323,30-11-2019,Female,59,Kolkata,Karnataka,India,employee11@company.com,-9971334347,1.33,Office,26,Married,MBA,Project_421,6,98.64,Star Health,PF
EMP000013,Neha,Sharma,DPT00194,Consultant,1649189,120392,07-11-2016,Female,51,Bangalore,Karnataka,India,employee12@company.com,-9484872095,3.46,Remote,5,Single,MCA,Project_401,24,82.84,Star Health,PF
EMP000014,Priya,Roy,DPT00334,Manager,2268665,129119,31-08-2018,Male,39,Mumbai,Maharashtra,India,employee13@company.com,-7745822117,2.51,Remote,12,Single,BTech,Project_223,25,92.76,HDFC Ergo,NPS
EMP000015,Neha,Roy,DPT00819,Software Engineer,1412416,181320,07-11-2020,Male,28,Kolkata,Karnataka,India,employee14@company.com,-7551395492,1.95,Remote,34,Married,MBA,Project_435,14,82.87,HDFC Ergo,PF
EMP000016,Sneha,Dutta,DPT03086,Manager,1542307,89119,13-05-2015,Female,41,Pune,West Bengal,India,employee15@company.com,-7444760801,2.12,Office,29,Married,MBA,Project_239,0,93.66,HDFC Ergo,PF
EMP000017,Amit,Gupta,DPT03329,Manager,2380429,38180,09-01-2018,Male,42,Delhi,Delhi,India,employee16@company.com,-8663894183,1.97,Office,11,Single,BSc,Project_494,27,76.06,Star Health,PF
EMP000018,Arjun,Singh,DPT01047,Consultant,922909,67286,22-12-2016,Female,41,Chennai,West Bengal,India,employee17@company.com,-9824034566,2.27,Remote,4,Married,MBA,Project_245,1,76.04,HDFC Ergo,NPS
EMP000019,Riya,Dutta,DPT02342,Consultant,2331591,120121,24-05-2021,Female,50,Delhi,Karnataka,India,employee18@company.com,-9579325413,3.58,Office,25,Single,MCA,Project_30,26,82.57,Star Health,NPS
EMP000020,Rahul,Dutta,DPT01038,Consultant,655688,70822,18-10-2020,Male,46,Mumbai,Karnataka,India,employee19@company.com,-9603440591,3.9,Remote,26,Married,MBA,Project_23,8,74.57,LIC,PF
EMP000021,Amit,Paul,DPT00110,Software Engineer,1804664,60064,04-09-2023,Female,29,Delhi,Delhi,India,employee20@company.com,-8382308350,3.48,Hybrid,13,Single,MBA,Project_335,8,76.1,Star Health,PF
EMP000022,Arjun,Dutta,DPT02326,Manager,2104299,73400,22-09-2015,Female,37,Mumbai,Maharashtra,India,employee21@company.com,-9165136380,2.56,Remote,33,Married,BTech,Project_231,13,87.82,HDFC Ergo,NPS
EMP000023,Amit,Sharma,DPT04002,Software Engineer,2423546,27940,02-06-2017,Female,57,Bangalore,Maharashtra,India,employee22@company.com,-8652113377,3.28,Hybrid,28,Married,BTech,Project_422,13,88.96,HDFC Ergo,NPS
EMP000024,Priya,Singh,DPT04662,Analyst,1818255,146125,30-11-2015,Female,55,Pune,West Bengal,India,employee23@company.com,-8798151281,4.53,Remote,15,Married,MCA,Project_3,13,73.73,Star Health,PF
EMP000025,Neha,Paul,DPT03726,Software Engineer,2178892,52484,28-06-2018,Female,33,Chennai,Maharashtra,India,employee24@company.com,-9615607888,4.31,Office,2,Married,MBA,Project_390,3,93,HDFC Ergo,PF
EMP000026,Neha,Gupta,DPT00269,HR Executive,744284,134403,09-09-2023,Male,30,Delhi,Maharashtra,India,employee25@company.com,-9974331467,1.15,Hybrid,20,Married,MCA,Project_106,1,88.75,Star Health,PF
