Department_ID,Employee_ID,First_Name,Last_Name,Age,Gender,Department,Salary,Experience_Years,City,State,Country,Email,Phone,Joining_Date,Manager_Name,Performance_Score,Project_Count,Bonus,Work_Mode,Status
DPT03375,1,Megan,Bates,43,Female,HR,109059,11,New Leroyland,Wisconsin,Aruba,timothymorris@example.net,001-744-563-7333,08-08-2021,Barbara Wilson,10,20,18256,Hybrid,Inactive
DPT02743,2,Sharon,Sloan,21,Female,Admin,73790,9,Gutierrezview,Arkansas,Mayotte,agarcia@example.net,+1-840-228-9353x1404,29-01-2018,Jonathan May,7,14,25333,Office,Active
DPT01124,3,Christopher,Smith,48,Male,Finance,100150,9,New Joseph,Kentucky,Guyana,simmonscarrie@example.com,(732)701-2158,05-05-2022,Glenn Galvan,8,10,11916,Hybrid,Active
DPT01782,4,Mary,Williams,37,Female,HR,84250,19,Cliffordstad,Rhode Island,Philippines,josephstewart@example.org,5455888463,26-02-2021,Charles Lopez,3,14,43955,Hybrid,Inactive
DPT02844,5,Mason,Graham,25,Female,Admin,138323,12,South Penny,Nevada,Belarus,stephanie77@example.net,407.419.6107,11-02-2021,Rebecca Moore,6,9,39899,Office,Active
DPT01514,6,Amy,Sanchez,42,Female,Engineering,101819,26,Randymouth,Oklahoma,Serbia,brandi13@example.org,7522865389,15-07-2023,Jorge Edwards,5,13,12997,Office,Active
DPT00411,7,Matthew,Horton,41,Male,Support,56682,22,Lake Michael,Maryland,India,johnsontimothy@example.net,325.327.0819,11-02-2026,Chad Lewis,2,11,46858,Office,Inactive
DPT00002,8,Elizabeth,Mccarthy,55,Female,IT,47749,5,Marymouth,Michigan,Monaco,adamcross@example.com,(432)868-0623x31824,22-03-2019,Derek Mcbride,6,9,36760,Hybrid,Active
DPT00183,9,Kimberly,Carlson,55,Male,Support,138256,22,East Jamesland,Iowa,Tonga,lee67@example.org,5322045843,28-10-2019,Craig Miller,3,18,5027,Hybrid,Active
DPT04612,10,Kimberly,Shields,55,Male,IT,125363,8,Lake Crystalhaven,Texas,Aruba,martin16@example.org,927-745-2377,09-08-2021,Brian Mcintosh,8,14,28480,Remote,Active
DPT00480,11,Ann,Brown,56,Male,Operations,149697,29,Jacquelineton,Pennsylvania,Slovakia (Slovak Republic),kathleen19@example.org,786-989-3720,26-03-2022,Holly Graham,10,13,43653,Hybrid,Active
DPT01446,12,Nancy,Webb,27,Female,Support,58183,7,Kingfurt,Rhode Island,Guinea,ericachapman@example.net,956.509.8731x31240,02-09-2024,Jon Hopkins,7,2,40925,Remote,Active
DPT00194,13,Ronald,Berry,58,Male,Engineering,95078,28,North Jessicaton,North Dakota,New Caledonia,gardneremily@example.com,(776)377-3139x2239,11-03-2018,Mr. Danny Salazar,9,10,33107,Office,Active
DPT00334,14,Christopher,Walker,46,Female,Finance,34974,2,Chavezstad,Louisiana,Turks and Caicos Islands,enorton@example.net,965-735-2493x78540,04-09-2018,Rebecca Davis,2,9,18355,Office,Inactive
DPT00819,15,Kristen,Phillips,38,Female,Support,90753,24,West Albertshire,Kansas,Dominica,cameronhinton@example.org,-2654,14-01-2026,Kimberly Werner,8,15,41116,Hybrid,Inactive
DPT03086,16,Richard,Jones,42,Female,Finance,128667,15,Smithmouth,Virginia,Cameroon,pacejoanna@example.com,824-948-5778,13-06-2018,John Castaneda,10,9,14660,Remote,Active
DPT03329,17,Kristine,Luna,24,Male,Sales,122859,9,Lake Brittany,Missouri,Chile,deborah51@example.com,001-895-927-7588,27-02-2026,Lori Pratt,4,1,9706,Hybrid,Active
DPT01047,18,Ana,Mitchell,57,Male,Legal,117062,28,New Thomasville,Maryland,Kuwait,leekeith@example.net,895-894-6023,24-05-2019,Thomas Cameron Jr.,10,2,45504,Hybrid,Active
DPT02342,19,Breanna,Palmer,25,Male,Support,58182,6,East Travischester,Utah,Marshall Islands,tiffanymcdonald@example.org,6866566867,13-01-2025,Marisa Hall,2,17,21246,Office,Inactive
DPT01038,20,Eric,Patrick,42,Female,IT,30100,16,West William,Utah,Uzbekistan,david52@example.net,289.428.9858x77796,13-07-2025,Robert Frank,6,19,30581,Office,Active
DPT00110,21,Eric,Smith,32,Female,IT,45118,30,Ericfort,Pennsylvania,Argentina,betty36@example.org,001-490-764-2690x254,13-09-2025,Matthew Thompson,1,4,27926,Office,Inactive
DPT02326,22,Christopher,Davis,41,Male,Sales,60532,11,Meganfurt,Virginia,Saint Helena,brian42@example.com,(874)246-0552x109,10-05-2024,Eric Blake,6,11,48787,Hybrid,Inactive
DPT04002,23,Michele,Solis,59,Male,Admin,82324,11,Williamsonbury,Utah,Marshall Islands,comptonjane@example.net,+1-707-551-0249x3255,01-02-2026,Katherine Hunt,4,7,19031,Office,Inactive
DPT04662,24,Michaela,Ford,42,Female,Engineering,95137,18,Belltown,Michigan,United Kingdom,jparker@example.net,001-584-786-6590x58652,25-08-2024,Jeffery Watkins,4,17,28087,Office,Active
DPT03726,25,Gregory,Price,28,Male,Sales,117858,23,Port Ronald,Massachusetts,Mexico,zhess@example.org,(619)896-9278,10-06-2018,Michael Sanchez,2,6,9506,Remote,Active
DPT00269,26,Caleb,Williams,26,Female,Engineering,114722,2,New Sarahmouth,Missouri,Falkland Islands (Malvinas),eross@example.com,7713962822,09-06-2024,Michele Gonzalez,5,13,39982,Hybrid,Inactive
DPT01203,27,Michael,Martinez,55,Female,Engineering,129614,24,Vargasstad,Wyoming,Turkmenistan,mayerjason@example.net,704.920.1550x077,06-11-2024,Kevin Nolan,6,12,44031,Hybrid,Active
DPT03537,28,Joshua,Gilbert,50,Female,IT,96193,1,Annettefort,Georgia,Slovenia,benjaminlee@example.com,6898463528,26-07-2017,James Hartman,1,8,9917,Hybrid,Inactive
DPT01626,29,Joshua,Farmer,53,Male,Support,81520,1,West Danielton,Massachusetts,Fiji,timothycruz@example.org,001-688-260-6222x41011,31-03-2022,Christopher Benson,9,1,40916,Office,Inactive
DPT01914,30,Jake,Ayala,41,Male,HR,124035,12,Zhangport,Hawaii,Samoa,sullivanandrew@example.net,-9698,23-08-2021,Bruce Bonilla,5,17,31075,Office,Inactive
DPT04188,31,Christina,Anderson,42,Male,Engineering,119634,14,Bryanhaven,Louisiana,Tunisia,jackjones@example.com,916.625.5333x05704,19-12-2019,Brian Stone,9,5,31626,Remote,Active
DPT02518,32,Jamie,Brown,25,Female,Marketing,143905,22,North Jillport,Missouri,South Georgia and the South Sandwich Islands,james33@example.com,001-467-731-0731x460,05-05-2022,Kylie Taylor,3,7,48566,Remote,Active
DPT03569,33,Linda,Barr,55,Female,HR,95247,23,Franktown,New Jersey,Cocos (Keeling) Islands,johnsonsean@example.net,(284)322-0757x317,30-10-2021,Marissa Romero,6,11,18877,Remote,Active
DPT04557,34,Daniel,Marshall,31,Female,Admin,47791,14,Port Carla,New Jersey,United Arab Emirates,vazquezjulie@example.com,(537)239-9154,28-03-2022,Joshua Brandt,10,18,11667,Hybrid,Inactive
DPT02006,35,Lindsey,Beltran,32,Male,Legal,149537,11,East Jennifer,Mississippi,Latvia,alexander00@example.com,001-927-751-7507x4340,13-10-2021,Crystal Cordova,1,10,42342,Hybrid,Inactive
DPT00628,36,Melissa,Keller,21,Female,IT,78582,19,Port Patrick,Colorado,Solomon Islands,dspencer@example.org,797-733-0646x0121,29-12-2022,Amanda Solomon,3,16,17987,Office,Inactive
DPT04972,37,Nicole,Freeman,52,Female,Finance,72105,29,Morganstad,Alaska,Burkina Faso,starkchristina@example.com,836.797.6265x0422,18-07-2016,Leslie Luna,6,3,39249,Office,Active
DPT02115,38,Amy,Franco,27,Female,Engineering,66166,14,Meghanton,Oklahoma,Holy See (Vatican City State),danielleguzman@example.org,(993)509-3081x77802,11-10-2023,John Whitaker,3,14,44485,Remote,Inactive
DPT00912,39,Charlene,Rose,51,Female,Support,42997,8,West Christopher,Montana,Cuba,bmoore@example.com,608-281-5971x85091,04-06-2023,Mr. Jacob Turner MD,7,5,34724,Office,Active
DPT03390,40,Allison,Allen,41,Male,Engineering,115327,29,North Janetmouth,Delaware,Uzbekistan,taylorcampbell@example.net,-4432,27-10-2019,Terri Wallace,3,16,37113,Remote,Active
DPT02666,41,Samantha,Adams,50,Female,Admin,82877,6,Pittsville,North Dakota,Peru,greenbrandon@example.org,+1-649-313-3712x22331,17-03-2024,Penny Preston,6,6,40302,Remote,Active
DPT04657,42,Caleb,Hernandez,41,Male,Legal,110308,5,Martinezborough,Oklahoma,Hungary,christine34@example.org,4453452682,13-03-2022,Michael Taylor,10,4,12095,Hybrid,Active
DPT03352,43,Christopher,Patrick,48,Female,Legal,84946,20,Greenefort,Vermont,Lesotho,woodjennifer@example.org,6239410609,16-09-2021,Chad Elliott,3,10,15175,Office,Active
DPT02427,44,Devin,Carroll,42,Male,Finance,74667,30,New Frank,New Mexico,Papua New Guinea,timothycarpenter@example.com,(888)693-7731x72775,14-08-2018,Jennifer Parker,8,19,43955,Office,Inactive
DPT02057,45,Samuel,Patrick,23,Female,Marketing,106543,24,Davidside,Kentucky,Western Sahara,welchjohn@example.net,492.956.5995x536,13-06-2025,Jorge Love,3,7,25798,Hybrid,Inactive
DPT00332,46,Kaitlin,Huynh,24,Male,Finance,63134,10,East Bryan,Wyoming,Saudi Arabia,gdavenport@example.net,+1-611-966-3565x22562,03-05-2023,Jeffery Hooper,4,11,19589,Hybrid,Active
DPT00951,47,Lindsey,Guzman,34,Female,Finance,115328,23,New Scott,Illinois,Panama,beckerkevin@example.net,282-663-7913x958,14-07-2025,Morgan Bryant,8,12,40189,Remote,Active
DPT02276,48,Lisa,Wood,33,Female,Legal,144851,14,Lake Michaelfort,Idaho,Isle of Man,shernandez@example.org,(247)787-3485,03-05-2023,Meredith Ryan,9,16,39666,Remote,Inactive
DPT00344,49,Robert,Turner,27,Male,Admin,126274,11,North Amyshire,Wyoming,Cocos (Keeling) Islands,carl25@example.net,858.912.0237x43743,03-08-2025,Kelly Figueroa,5,17,37211,Remote,Active
DPT01118,50,Brenda,Jones,23,Male,Engineering,111461,3,Martinmouth,New Jersey,Saint Helena,elizabethwalsh@example.org,(267)567-6268,07-10-2018,Rhonda Brown,10,9,23749,Hybrid,Active
DPT01918,51,Tricia,Davila,27,Female,Marketing,120959,1,Evanstown,Washington,Tonga,brooke55@example.net,001-627-331-0722x07775,28-02-2019,Catherine Hall,10,3,37855,Hybrid,Inactive
DPT02906,52,Timothy,Lewis,25,Male,Admin,55290,7,Pattersonchester,Michigan,Antarctica (the territory South of 60 deg S),acasey@example.org,(657)285-9193x44438,28-09-2025,Hannah Barrett,9,2,37027,Remote,Active
DPT01302,53,Stephen,Phillips,40,Male,Sales,45314,15,West Mark,New Jersey,Hong Kong,omitchell@example.com,-4022,24-01-2024,Rebecca Foster,7,14,11271,Office,Inactive
DPT04344,54,Shelby,Williamson,59,Female,IT,99586,24,North Davidside,Massachusetts,Tokelau,lopezbetty@example.net,001-298-920-0807x071,19-09-2021,Traci Cruz,8,16,36038,Office,Inactive
DPT01385,55,Brett,Zimmerman,40,Male,Operations,30949,14,Woodsberg,South Carolina,Paraguay,shaneking@example.com,881-293-4727x772,21-12-2023,Charles Fuller,9,20,44185,Office,Active
DPT01434,56,Kathryn,Garcia,52,Female,Finance,89118,23,Vanessafurt,Connecticut,Philippines,erose@example.com,774.632.6798x8399,19-07-2018,Vincent Dillon,7,17,22325,Remote,Inactive
DPT03183,57,Mary,Edwards,21,Male,Support,51019,27,Hayestown,Washington,Algeria,nicolasjenkins@example.net,610.483.3729x402,03-03-2020,Jacqueline Mccoy,2,9,41934,Office,Inactive
DPT00047,58,William,Thomas,58,Male,Finance,47612,22,North Makayla,Tennessee,Liechtenstein,arroyojennifer@example.net,672.527.6537x059,27-04-2017,Debra Williamson,1,12,43796,Remote,Inactive
DPT04189,59,Cynthia,Smith,34,Female,Engineering,92204,2,West Jessicabury,Florida,Gibraltar,hunter01@example.com,+1-475-588-4513x42953,30-07-2025,Andrew Lucas,9,14,27099,Hybrid,Inactive
DPT03105,60,Bethany,Lewis,38,Female,IT,56311,10,Lake Anthony,Vermont,Peru,kjones@example.net,001-223-643-0495x8662,06-07-2024,Shelly Brown,10,5,48204,Office,Inactive
DPT02806,61,Barbara,Martin,45,Female,Support,73790,22,New Ryan,South Carolina,Congo,lori01@example.com,697.203.7733x5716,01-09-2024,Darren Hughes,6,18,17580,Remote,Active
DPT03347,62,Raymond,Patterson,48,Male,Support,92794,13,Douglasshire,Georgia,Turks and Caicos Islands,wattsandrew@example.com,890-888-5823,08-07-2017,John Waller,7,5,24685,Hybrid,Active
DPT02580,63,Zachary,Larsen,45,Female,Legal,103809,11,Danielberg,Pennsylvania,Bouvet Island (Bouvetoya),qweber@example.com,+1-665-851-4260x8510,03-11-2022,Sabrina Garcia,3,6,47760,Office,Inactive
DPT04606,64,Bobby,Wilson,26,Female,IT,94504,8,Port Daniellefurt,Washington,New Zealand,jerome35@example.com,(365)810-1950,11-10-2019,Wendy Le,8,12,43921,Remote,Inactive
DPT00773,65,Jasmine,Collier,56,Female,Admin,108845,5,Rodriguezborough,Utah,Mauritius,judithhutchinson@example.org,+1-371-231-4674x18741,12-06-2019,Brandon Anderson,10,7,47550,Office,Active
